Student_ID,Name,Age,City,Electronics,Programming,Database,Data Science,Mathematics,DSA
STU00063,Ananya Vikram,19,Delhi,91,29,28,16,23,55
STU00064,Vikram Ananya,18,Bangalore,23,20,75,95,96,54
STU00065,Kabir Neha,21,Delhi,98,36,37,81,5,29
STU00066,Kabir Neha,22,Delhi,87,42,35,22,32,68
STU00067,Kabir Neha,20,Kolkata,92,83,37,77,66,65
STU00068,Vikram Ananya,22,Kolkata,99,84,74,12,59,31
STU00069,Ananya Aarav,21,Bangalore,34,86,31,9,95,84
STU00070,Ishaan Kabir,22,Chennai,1,95,50,23,89,56
STU00071,Ishaan Riya,20,Bangalore,96,3,8,42,14,55
STU00072,Riya Aarav,19,Bangalore,4,24,19,11,74,39
STU00073,Neha Kabir,19,Mumbai,36,35,29,38,35,63
STU00074,Neha Vikram,22,Chennai,68,49,77,60,81,8
STU00075,Meera Aarav,21,Chennai,59,9,81,74,12,100
STU00076,Riya Aarav,18,Mumbai,83,76,59,0,22,46
STU00077,Neha Vikram,20,Bangalore,78,15,91,37,82,19
STU00078,Aarav Neha,21,Mumbai,65,85,15,91,45,4
STU00079,Ananya Meera,21,Mumbai,4,10,17,13,59,81
STU00080,Meera Kabir,21,Bangalore,20,29,46,31,49,63
STU00081,Neha Vikram,21,Mumbai,8,6,78,96,47,91
STU00082,Kabir Meera,22,Delhi,40,22,35,86,72,96
STU00083,Neha Ananya,21,Chennai,51,48,28,54,58,33
STU00084,Kabir Ananya,20,Delhi,20,30,5,36,6,11
STU00085,Aarav Ananya,18,Delhi,31,80,34,64,13,9
STU00086,Vikram Meera,19,Bangalore,24,23,85,37,24,42
STU00087,Riya Aarav,20,Delhi,92,58,42,0,18,100
STU00088,Kabir Kabir,21,Mumbai,38,60,6,18,73,18
STU00089,Ananya Neha,21,Chennai,6,17,77,65,28,5
STU00090,Meera Neha,20,Bangalore,8,56,57,84,90,61
STU00091,Ananya Vikram,22,Delhi,96,62,59,100,39,82
STU00092,Meera Riya,18,Kolkata,50,90,95,25,15,56
STU00093,Vikram Meera,18,Mumbai,69,38,32,66,38,90
STU00094,Meera Riya,21,Hyderabad,46,41,51,64,98,29
STU00095,Ishaan Meera,22,Delhi,16,26,36,21,10,2
STU00096,Riya Vikram,21,Chennai,0,11,0,73,76,28
STU00097,Vikram Ananya,21,Kolkata,20,17,26,18,60,33
STU00098,Ishaan Meera,19,Delhi,72,14,45,33,81,57
STU00099,Ananya Ishaan,22,Bangalore,11,76,78,15,64,84
STU00100,Ishaan Meera,19,Chennai,60,55,73,2,8,43
STU00101,Vikram Ishaan,20,Bangalore,77,33,28,100,56,52
STU00102,Neha Ananya,21,Kolkata,86,20,66,87,90,9
STU00103,Aarav Riya,19,Mumbai,5,69,70,97,76,53
STU00104,Vikram Riya,18,Kolkata,24,25,20,92,76,68
STU00105,Aarav Riya,18,Hyderabad,72,17,89,80,20,10
STU00106,Meera Vikram,19,Bangalore,19,53,85,42,38,23
STU00107,Kabir Neha,22,Delhi,19,57,10,39,52,69
STU00108,Riya Riya,22,Chennai,70,80,32,16,100,84
STU00109,Vikram Ishaan,19,Bangalore,73,19,37,100,74,64
STU00110,Riya Meera,20,Hyderabad,38,76,62,25,60,5
STU00111,Kabir Riya,20,Bangalore,57,64,81,75,7,70
STU00112,Aarav Ananya,19,Hyderabad,57,45,27,72,40,90
STU00113,Vikram Aarav,21,Kolkata,38,45,37,61,64,72
STU00114,Vikram Kabir,18,Delhi,20,21,0,12,54,60
STU00115,Riya Ananya,20,Bangalore,96,86,7,98,45,49
STU00116,Neha Meera,18,Kolkata,20,94,48,18,88,9
STU00117,Riya Neha,22,Mumbai,65,64,67,3,84,51
STU00118,Meera Ananya,20,Chennai,88,100,0,82,73,57
STU00119,Neha Meera,18,Hyderabad,37,69,60,72,70,74
STU00120,Vikram Riya,21,Kolkata,62,46,74,2,91,23
STU00121,Meera Ananya,19,Delhi,1,88,83,9,1,95
STU00122,Neha Neha,22,Hyderabad,47,70,85,53,52,82
STU00123,Ananya Neha,22,Delhi,12,47,16,30,68,92
STU00124,Kabir Kabir,20,Kolkata,5,16,20,13,43,27
STU00125,Ananya Riya,19,Chennai,33,5,1,45,0,76
STU00126,Vikram Neha,21,Chennai,25,13,15,26,85,70
STU00127,Riya Ishaan,19,Delhi,1,49,60,43,51,89
STU00128,Riya Aarav,21,Hyderabad,58,74,91,7,22,78
STU00129,Neha Ananya,18,Mumbai,17,71,93,8,48,81
STU00130,Neha Kabir,19,Bangalore,17,88,70,95,62,17
STU00131,Aarav Vikram,18,Mumbai,55,35,66,84,13,90
STU00132,Meera Kabir,22,Chennai,17,70,14,72,4,38
STU00133,Riya Ishaan,20,Chennai,79,76,63,50,45,6
STU00134,Kabir Neha,21,Bangalore,95,2,78,47,81,27
STU00135,Neha Vikram,21,Bangalore,37,92,37,39,47,69
STU00136,Ishaan Ananya,21,Mumbai,21,65,15,56,70,13
STU00137,Ishaan Meera,22,Chennai,25,27,49,71,4,45
STU00138,Riya Neha,19,Mumbai,92,69,3,18,18,93
STU00139,Ishaan Ishaan,21,Chennai,27,10,96,78,62,73
STU00140,Meera Neha,21,Bangalore,18,1,26,57,89,22
STU00141,Kabir Meera,18,Chennai,74,24,93,2,0,63
STU00142,Ananya Neha,22,Delhi,57,89,85,0,51,27
STU00143,Ishaan Aarav,19,Mumbai,16,66,68,7,66,36
STU00144,Ananya Meera,19,Bangalore,69,67,47,1,88,49
STU00145,Meera Aarav,19,Delhi,8,67,79,45,7,53
STU00146,Riya Riya,21,Bangalore,46,100,7,62,54,33
STU00147,Kabir Aarav,22,Hyderabad,77,9,38,59,82,29
STU00148,Vikram Meera,20,Mumbai,67,87,22,82,93,73
STU00149,Kabir Ishaan,19,Hyderabad,40,37,30,67,97,58
STU00150,Riya Kabir,19,Bangalore,72,1,53,8,74,4
STU00151,Vikram Meera,19,Bangalore,30,27,4,12,71,42
STU00152,Vikram Ishaan,19,Delhi,59,3,42,30,88,4
STU00153,Aarav Meera,19,Hyderabad,26,26,50,96,94,29
STU00154,Meera Ishaan,21,Hyderabad,34,50,47,32,65,84
STU00155,Aarav Ishaan,20,Kolkata,92,37,10,50,53,4
STU00156,Aarav Kabir,18,Hyderabad,4,88,71,9,28,29
STU00157,Meera Ishaan,22,Kolkata,57,75,9,57,30,46
STU00158,Meera Neha,21,Bangalore,42,48,11,44,86,79
STU00159,Meera Vikram,19,Mumbai,77,8,38,21,52,4
STU00160,Neha Riya,20,Bangalore,68,81,85,96,87,64
STU00161,Riya Vikram,20,Chennai,52,3,24,12,3,76
STU00162,Vikram Riya,22,Bangalore,22,4,45,89,29,69
STU00163,Riya Meera,22,Bangalore,60,10,80,64,16,87
STU00164,Aarav Ishaan,19,Hyderabad,20,60,92,74,53,42
STU00165,Vikram Meera,18,Bangalore,0,15,64,47,94,74
STU00166,Aarav Meera,21,Delhi,32,45,99,5,88,76
STU00167,Ananya Ananya,18,Chennai,39,55,100,87,18,25
STU00168,Aarav Aarav,18,Delhi,43,48,73,29,98,28
STU00169,Aarav Neha,19,Bangalore,59,6,89,96,46,73
STU00170,Ishaan Meera,22,Hyderabad,91,11,78,81,12,1
STU00171,Vikram Meera,18,Mumbai,42,57,4,65,13,93
STU00172,Ishaan Ananya,22,Kolkata,11,7,41,93,83,11
STU00173,Aarav Meera,18,Bangalore,35,84,92,59,74,69
STU00174,Ishaan Kabir,21,Hyderabad,61,93,35,29,29,26
STU00175,Meera Riya,22,Bangalore,91,22,99,65,22,32
STU00176,Neha Ananya,20,Mumbai,9,6,62,63,93,19
STU00177,Ananya Meera,20,Chennai,87,13,93,79,77,23
STU00178,Riya Riya,22,Chennai,67,30,23,97,4,0
STU00179,Meera Kabir,21,Chennai,69,91,70,43,14,8
STU00180,Vikram Aarav,20,Chennai,67,90,33,35,15,41
STU00181,Kabir Ananya,21,Delhi,15,78,3,77,72,55
STU00182,Ishaan Kabir,22,Hyderabad,30,84,96,30,13,64
STU00183,Meera Ananya,22,Kolkata,74,96,29,59,46,94
STU00184,Kabir Meera,21,Kolkata,19,44,72,71,78,34
STU00185,Ishaan Ishaan,21,Mumbai,5,57,91,44,9,33
STU00186,Vikram Kabir,18,Chennai,65,58,18,38,60,45
STU00187,Aarav Ananya,19,Delhi,82,95,32,81,82,20
STU00188,Vikram Neha,19,Bangalore,92,15,61,85,33,35
STU00189,Vikram Ishaan,21,Kolkata,21,29,30,62,77,14
STU00190,Ananya Riya,18,Chennai,84,82,20,59,57,33
STU00191,Meera Kabir,21,Bangalore,3,100,27,32,4,30
STU00192,Ananya Ishaan,20,Delhi,10,67,43,31,10,79
STU00193,Aarav Vikram,18,Mumbai,1,52,35,69,33,73
STU00194,Aarav Aarav,18,Mumbai,5,41,40,3,100,16
STU00195,Ananya Ishaan,21,Hyderabad,97,22,35,24,50,60
STU00196,Ishaan Ananya,20,Delhi,13,91,38,50,62,33
STU00197,Aarav Neha,22,Mumbai,86,37,74,37,28,71
STU00198,Aarav Neha,19,Chennai,27,21,3,65,92,29
STU00199,Riya Ananya,18,Chennai,72,94,2,42,1,75
STU00200,Aarav Neha,21,Bangalore,81,25,60,60,79,10
STU00201,Meera Kabir,18,Chennai,52,36,75,15,48,100
STU00202,Aarav Aarav,19,Bangalore,32,0,58,39,64,34
STU00203,Meera Ishaan,20,Kolkata,84,62,35,65,53,53
STU00204,Riya Meera,21,Hyderabad,29,65,87,63,32,65
STU00205,Ishaan Ishaan,21,Hyderabad,59,35,89,13,12,97
STU00206,Kabir Kabir,18,Chennai,18,81,17,61,53,49
STU00207,Kabir Vikram,21,Chennai,6,45,3,15,25,90
STU00208,Ishaan Ananya,22,Bangalore,5,81,44,66,4,24
STU00209,Ishaan Kabir,22,Chennai,43,99,48,16,98,70
STU00210,Ananya Ananya,19,Mumbai,94,93,92,23,90,74
STU00211,Riya Aarav,19,Kolkata,7,25,85,96,92,81
STU00212,Riya Ananya,22,Delhi,54,85,53,64,0,29
STU00213,Aarav Vikram,20,Chennai,14,82,71,75,52,27
STU00214,Meera Ishaan,20,Bangalore,16,8,12,85,93,45
STU00215,Ishaan Neha,18,Bangalore,67,35,6,68,28,48
STU00216,Vikram Ananya,21,Mumbai,95,49,89,98,68,71
STU00217,Ananya Neha,18,Kolkata,37,33,72,0,39,10
STU00218,Meera Riya,18,Delhi,82,90,25,91,17,22
STU00219,Neha Meera,19,Kolkata,87,65,20,11,15,67
STU00220,Ananya Ananya,21,Bangalore,65,31,34,89,32,23
STU00221,Ananya Riya,18,Mumbai,87,35,50,14,49,19
STU00222,Neha Vikram,21,Hyderabad,27,90,1,94,90,9
STU00223,Aarav Aarav,18,Chennai,70,80,85,68,60,100
STU00224,Ananya Riya,19,Delhi,71,55,54,58,80,78
STU00225,Vikram Riya,21,Bangalore,35,70,55,32,81,97
STU00226,Neha Vikram,22,Bangalore,56,15,95,16,34,21
STU00227,Ananya Neha,21,Hyderabad,62,52,66,19,41,33
STU00228,Ishaan Ishaan,18,Chennai,74,53,29,68,53,52
STU00229,Aarav Kabir,20,Bangalore,99,48,1,79,63,64
STU00230,Kabir Neha,18,Bangalore,60,11,40,3,29,71
STU00231,Aarav Ananya,20,Hyderabad,20,62,2,72,6,70
STU00232,Ananya Aarav,20,Mumbai,61,73,57,3,52,0
STU00233,Riya Neha,18,Mumbai,12,49,34,35,17,98
STU00234,Aarav Neha,21,Bangalore,61,74,75,91,72,72
STU00235,Meera Vikram,22,Delhi,37,38,12,11,64,90
STU00236,Ananya Ishaan,22,Delhi,79,18,15,12,79,96
STU00237,Aarav Neha,18,Kolkata,38,32,80,55,73,9
STU00238,Neha Ishaan,22,Mumbai,31,80,55,23,65,90
STU00239,Kabir Vikram,20,Kolkata,19,100,6,20,75,26
STU00240,Neha Vikram,19,Mumbai,64,62,39,40,49,67
STU00241,Ishaan Ishaan,21,Hyderabad,46,100,100,53,6,40
STU00242,Ishaan Neha,21,Mumbai,41,27,79,61,95,82
STU00243,Meera Ishaan,21,Chennai,6,38,32,0,7,16
STU00244,Ishaan Aarav,19,Kolkata,34,5,23,32,95,60
STU00245,Kabir Vikram,21,Hyderabad,12,39,76,26,62,91
STU00246,Kabir Neha,21,Mumbai,35,27,24,54,21,24
STU00247,Kabir Ananya,18,Delhi,91,30,68,88,78,86
STU00248,Kabir Meera,18,Delhi,21,52,79,20,87,89
STU00249,Riya Kabir,19,Bangalore,94,12,19,14,13,53
STU00250,Kabir Neha,21,Mumbai,30,71,97,46,85,85
STU00251,Aarav Ananya,19,Mumbai,2,79,45,32,42,93
STU00252,Kabir Meera,22,Hyderabad,20,28,87,58,69,47
STU00253,Neha Ishaan,21,Delhi,47,81,4,76,76,89
STU00254,Vikram Vikram,22,Mumbai,76,18,42,84,18,17
STU00255,Neha Riya,19,Mumbai,5,50,44,77,34,78
STU00256,Vikram Kabir,19,Bangalore,73,12,22,3,9,79
STU00257,Vikram Ananya,21,Chennai,71,31,28,9,60,20
STU00258,Kabir Meera,21,Chennai,30,35,74,70,59,81
STU00259,Ananya Kabir,19,Hyderabad,64,29,57,55,19,19
STU00260,Neha Kabir,19,Kolkata,86,60,55,77,83,84
STU00261,Meera Ananya,22,Chennai,60,11,70,18,96,49
STU00262,Neha Ananya,19,Kolkata,34,81,72,95,6,98
STU00263,Meera Ishaan,19,Mumbai,72,95,53,7,40,93
STU00264,Kabir Riya,21,Chennai,2,51,82,85,95,41
STU00265,Riya Kabir,21,Chennai,88,7,45,100,54,58
STU00266,Neha Kabir,22,Chennai,97,3,65,96,58,41
STU00267,Meera Aarav,21,Hyderabad,44,37,66,19,76,70
STU00268,Neha Vikram,21,Kolkata,79,76,69,24,31,41
STU00269,Vikram Vikram,19,Chennai,51,25,18,28,32,25
STU00270,Aarav Vikram,22,Mumbai,62,11,37,9,8,76
STU00271,Neha Aarav,19,Mumbai,73,15,85,48,16,47
STU00272,Meera Riya,21,Hyderabad,0,14,0,7,55,36
STU00273,Ishaan Meera,22,Mumbai,89,51,54,5,25,38
STU00274,Aarav Riya,21,Kolkata,67,74,47,93,11,55
STU00275,Neha Ishaan,20,Mumbai,77,62,50,78,4,57
STU00276,Aarav Ishaan,18,Delhi,53,13,78,79,65,98
STU00277,Ishaan Ananya,18,Delhi,57,82,95,79,57,98
STU00278,Neha Ananya,19,Hyderabad,11,59,30,4,5,41
STU00279,Neha Riya,22,Kolkata,64,2,80,61,74,97
STU00280,Vikram Riya,21,Hyderabad,45,88,75,97,91,51
STU00281,Meera Aarav,19,Chennai,93,29,55,73,34,32
STU00282,Vikram Ananya,22,Delhi,33,51,22,15,92,39
STU00283,Neha Riya,20,Hyderabad,65,88,49,43,100,86
STU00284,Riya Aarav,22,Chennai,79,70,8,51,63,62
STU00285,Aarav Vikram,20,Delhi,80,58,92,5,80,81
STU00286,Ishaan Ananya,22,Mumbai,3,33,90,80,52,74
STU00287,Ishaan Kabir,19,Kolkata,7,0,66,34,59,60
STU00288,Aarav Neha,22,Hyderabad,100,68,14,20,7,58
STU00289,Kabir Riya,19,Bangalore,30,35,55,44,55,52
STU00290,Meera Ishaan,19,Kolkata,69,81,50,44,71,50
STU00291,Kabir Riya,20,Hyderabad,21,84,58,81,64,51
STU00292,Aarav Vikram,22,Delhi,26,33,4,59,64,26
STU00293,Kabir Riya,18,Delhi,8,98,72,100,47,55
STU00294,Meera Aarav,22,Bangalore,49,21,67,50,80,41
STU00295,Aarav Kabir,18,Delhi,12,84,38,99,80,22
STU00296,Meera Neha,20,Mumbai,99,70,35,89,44,73
STU00297,Kabir Riya,22,Kolkata,63,23,61,74,100,73
STU00298,Aarav Kabir,19,Delhi,55,34,32,73,13,15
STU00299,Aarav Riya,19,Bangalore,18,42,78,88,18,94
STU00300,Aarav Ishaan,19,Kolkata,74,12,76,68,49,91
STU00301,Riya Kabir,19,Bangalore,67,91,60,51,96,78
STU00302,Kabir Meera,22,Chennai,9,9,17,56,17,25
STU00303,Riya Meera,20,Delhi,92,89,17,5,30,50
STU00304,Ananya Meera,20,Mumbai,64,5,15,28,39,89
STU00305,Riya Kabir,18,Bangalore,15,55,78,43,7,10
STU00306,Aarav Meera,20,Hyderabad,20,86,46,68,33,69
STU00307,Ishaan Ananya,18,Chennai,48,89,38,2,79,25
STU00308,Ishaan Kabir,21,Delhi,71,51,69,1,10,85
STU00309,Riya Aarav,20,Delhi,72,48,37,53,8,78
STU00310,Ananya Kabir,19,Kolkata,46,37,73,49,48,2
STU00311,Riya Vikram,19,Bangalore,84,89,57,36,90,13
STU00312,Ananya Neha,18,Delhi,57,52,1,81,35,77
STU00313,Ishaan Riya,22,Hyderabad,49,61,90,30,76,11
STU00314,Meera Vikram,18,Kolkata,17,83,1,11,70,82
STU00315,Neha Vikram,19,Hyderabad,22,26,46,79,64,34
STU00316,Neha Vikram,20,Chennai,36,10,97,37,16,28
STU00317,Ishaan Kabir,19,Bangalore,55,42,69,9,59,14
STU00318,Kabir Meera,20,Kolkata,19,44,88,70,32,7
STU00319,Ishaan Meera,18,Hyderabad,0,48,92,73,64,13
STU00320,Riya Kabir,18,Delhi,82,44,90,25,97,25
STU00321,Ishaan Kabir,18,Kolkata,5,60,59,62,22,83
STU00322,Riya Kabir,20,Chennai,81,96,15,72,75,46
STU00323,Ananya Ishaan,18,Hyderabad,67,67,11,2,21,67
STU00324,Kabir Vikram,21,Mumbai,99,26,98,32,33,17
STU00325,Kabir Kabir,19,Hyderabad,61,37,67,70,4,11
STU00326,Kabir Meera,22,Chennai,50,35,31,72,88,39
STU00327,Neha Meera,22,Kolkata,36,59,100,49,35,11
STU00328,Aarav Meera,18,Bangalore,26,27,23,91,12,47
STU00329,Ishaan Riya,20,Bangalore,17,32,26,30,51,99
STU00330,Aarav Kabir,21,Mumbai,15,76,72,88,80,98
STU00331,Ananya Neha,21,Bangalore,30,97,45,99,71,6
STU00332,Meera Kabir,22,Hyderabad,68,50,76,14,85,24
STU00333,Ishaan Aarav,21,Kolkata,9,89,94,32,71,25
STU00334,Meera Ishaan,22,Chennai,77,62,84,80,97,19
STU00335,Ishaan Ishaan,21,Hyderabad,43,50,45,43,45,53
STU00336,Meera Ishaan,22,Hyderabad,55,86,13,81,1,52
STU00337,Kabir Vikram,20,Mumbai,98,18,29,48,34,92
STU00338,Vikram Riya,20,Chennai,78,57,25,36,22,40
STU00339,Kabir Vikram,19,Delhi,5,71,32,38,92,73
STU00340,Riya Ananya,19,Chennai,97,53,19,45,45,1
STU00341,Riya Aarav,19,Delhi,63,38,8,79,75,41
STU00342,Riya Neha,20,Bangalore,82,31,67,58,94,20
STU00343,Meera Aarav,22,Delhi,56,34,75,54,83,49
STU00344,Meera Ananya,19,Bangalore,63,54,37,88,1,44
STU00345,Riya Vikram,18,Chennai,13,14,46,83,58,60
STU00346,Aarav Kabir,20,Bangalore,81,5,77,19,49,18
STU00347,Neha Kabir,19,Bangalore,76,36,30,43,31,91
STU00348,Kabir Meera,19,Chennai,35,21,59,19,37,86
STU00349,Meera Neha,21,Kolkata,56,48,2,49,100,56
STU00350,Neha Ananya,19,Kolkata,26,20,49,19,56,8
STU00351,Riya Aarav,22,Hyderabad,17,97,33,91,87,46
STU00352,Neha Vikram,20,Hyderabad,35,48,49,94,74,36
STU00353,Neha Riya,19,Mumbai,64,100,52,67,12,60
STU00354,Riya Aarav,22,Bangalore,90,82,55,70,47,76
STU00355,Kabir Kabir,22,Hyderabad,2,95,98,77,99,24
STU00356,Meera Ishaan,18,Mumbai,5,65,36,71,0,48
STU00357,Ishaan Meera,20,Delhi,20,15,9,52,58,63
STU00358,Ananya Meera,22,Kolkata,48,64,39,68,36,94
STU00359,Vikram Vikram,18,Hyderabad,68,74,24,14,34,53
STU00360,Neha Kabir,21,Mumbai,84,74,8,27,79,67
STU00361,Ananya Meera,20,Bangalore,45,87,66,4,39,51
STU00362,Vikram Neha,18,Hyderabad,61,21,93,74,88,70
STU00363,Aarav Ananya,19,Chennai,32,27,34,48,69,87
STU00364,Vikram Vikram,18,Hyderabad,82,72,72,15,100,47
STU00365,Kabir Vikram,18,Kolkata,33,77,82,89,37,44
STU00366,Kabir Riya,22,Bangalore,83,76,63,68,71,39
STU00367,Meera Vikram,22,Hyderabad,44,57,53,51,47,81
STU00368,Aarav Kabir,18,Chennai,88,86,44,44,3,51
STU00369,Meera Meera,20,Bangalore,61,50,26,57,48,80
STU00370,Riya Vikram,19,Bangalore,35,73,99,68,12,38
STU00371,Riya Riya,22,Mumbai,9,48,20,36,14,92
STU00372,Neha Ishaan,18,Bangalore,58,79,37,5,96,97
STU00373,Meera Aarav,20,Hyderabad,41,76,74,34,67,63
STU00374,Neha Aarav,22,Mumbai,66,34,100,9,90,15
STU00375,Riya Vikram,20,Bangalore,25,47,23,25,56,57
STU00376,Aarav Aarav,20,Bangalore,26,97,35,20,29,89
STU00377,Neha Riya,21,Bangalore,29,100,54,25,37,2
STU00378,Meera Riya,20,Bangalore,66,17,74,48,87,68
STU00379,Riya Ishaan,20,Kolkata,97,10,15,52,98,41
STU00380,Kabir Kabir,21,Chennai,0,99,17,50,63,26
STU00381,Ananya Kabir,18,Delhi,87,27,45,34,29,15
STU00382,Aarav Neha,21,Bangalore,33,11,35,56,79,62
STU00383,Kabir Aarav,19,Delhi,45,16,6,91,96,78
STU00384,Kabir Kabir,22,Delhi,76,8,57,43,72,21
STU00385,Vikram Neha,21,Hyderabad,46,48,95,94,40,61
STU00386,Riya Neha,20,Hyderabad,78,96,8,70,47,41
STU00387,Vikram Riya,20,Mumbai,17,61,29,34,24,80
STU00388,Aarav Kabir,18,Hyderabad,69,43,93,35,30,67
STU00389,Vikram Aarav,18,Hyderabad,13,18,11,96,97,89
STU00390,Ishaan Ishaan,22,Hyderabad,48,8,7,37,14,71
STU00391,Ananya Meera,21,Mumbai,22,51,85,40,75,96
STU00392,Meera Meera,22,Bangalore,97,5,68,38,74,19
STU00393,Ishaan Aarav,18,Chennai,12,53,38,7,25,7
STU00394,Neha Ananya,20,Delhi,91,29,23,50,21,14
STU00395,Vikram Neha,21,Kolkata,14,97,24,10,56,72
STU00396,Kabir Meera,20,Chennai,51,73,98,21,49,70
STU00397,Neha Meera,22,Hyderabad,42,18,12,89,23,1
STU00398,Neha Vikram,22,Mumbai,58,41,81,69,10,51
STU00399,Kabir Ananya,22,Kolkata,31,2,55,64,63,66
STU00400,Kabir Ishaan,19,Chennai,25,12,60,28,74,17
STU00401,Ishaan Aarav,21,Mumbai,17,84,2,21,35,49
STU00402,Ananya Neha,18,Chennai,69,14,86,84,28,7
STU00403,Kabir Aarav,21,Bangalore,30,54,67,19,50,22
STU00404,Ishaan Ishaan,20,Bangalore,80,89,42,93,35,33
STU00405,Meera Kabir,22,Hyderabad,73,47,4,34,95,1
STU00406,Vikram Vikram,22,Hyderabad,72,100,48,17,11,17
STU00407,Ishaan Ananya,18,Kolkata,74,30,45,42,93,55
STU00408,Ishaan Ishaan,19,Hyderabad,72,23,51,82,79,94
STU00409,Kabir Aarav,21,Mumbai,53,22,27,63,76,92
STU00410,Aarav Neha,18,Delhi,90,14,53,78,23,19
STU00411,Ananya Riya,20,Hyderabad,59,61,45,18,32,26
STU00412,Ananya Ananya,22,Delhi,47,66,67,91,27,3
STU00413,Kabir Riya,18,Bangalore,71,37,9,90,55,2
STU00414,Ananya Ananya,19,Delhi,79,86,90,59,46,37
STU00415,Kabir Ishaan,19,Hyderabad,76,13,72,11,13,15
STU00416,Ishaan Vikram,22,Chennai,59,38,24,95,6,42
STU00417,Kabir Riya,21,Chennai,87,60,17,37,23,69
